"id","id_mzcr.cz","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
"5bd98bd8","CZ0423",3,"Ústecký","Litomerice",,"CZE.13.3_1","ChIJzRH2EhR-CUcRAKsUZg-vAAM","CZ.UK.LT","CZ0423","CZ042",50.49098777771,14.1804666064802,117278,"Statoids (2011)","http://www.statoids.com/ycz.html"
"c5bd1e7b","CZ0424",3,"Ústecký","Louny",,"CZE.13.4_1","ChIJv3wlEFo5CkcREKsUZg-vAAM","CZ.UK.LN","CZ0424","CZ042",50.2694683074952,13.6698604594248,85191,"Statoids (2011)","http://www.statoids.com/ycz.html"
"b2ba2eed","CZ0425",3,"Ústecký","Most",,"CZE.13.5_1","ChIJ--vuq4T1CUcRIKsUZg-vAAM","CZ.UK.MO","CZ0425","CZ042",50.5635108947755,13.5976001550985,111775,"Statoids (2011)","http://www.statoids.com/ycz.html"
"2bb37f57","CZ0426",3,"Ústecký","Teplice",,"CZE.13.6_1","ChIJR5_PXlaJCUcRMKsUZg-vAAM","CZ.UK.TP","CZ0426","CZ042",50.6169033050538,13.8193648890414,125498,"Statoids (2011)","http://www.statoids.com/ycz.html"
"5cb44fc1","CZ0427",3,"Ústecký","Ústí nad Labem",,"CZE.13.7_1","ChIJXRamunybCUcRQKsUZg-vAAM","CZ.UK.UL","CZ0427","CZ042",50.692029953003,14.0611835948691,118228,"Statoids (2011)","http://www.statoids.com/ycz.html"
"af480fdb","CZ0631",3,"Vysočina","Havlíckuv Brod",,"CZE.4.1_1","ChIJN4e1eClMDEcR1QMsOM45oXk","CZ.JK.HB","CZ0631","CZ063",49.6568450927735,15.5534210078717,94217,"Statoids (2011)","http://www.statoids.com/ycz.html"
"36415e61","CZ0632",3,"Vysočina","Jihlava",,"CZE.4.2_1","ChIJge0r2xgYDUcRQKwUZg-vAAM","CZ.JK.JI","CZ0632","CZ063",49.2995738983155,15.5526660913553,110522,"Statoids (2011)","http://www.statoids.com/ycz.html"
"41466ef7","CZ0633",3,"Vysočina","Pelhrimov",,"CZE.4.3_1","ChIJ50XrewTmDEcRIKwUZg-vAAM","CZ.JK.PE","CZ0633","CZ063",49.4105339050294,15.1397952266729,71914,"Statoids (2011)","http://www.statoids.com/ycz.html"
"df22fb54","CZ0634",3,"Vysočina","Trebíc",,"CZE.4.4_1","ChIJBTpYjopEDUcRUKwUZg-vAAM","CZ.JK.TR","CZ0634","CZ063",49.1350994110108,15.9570320396014,111693,"Statoids (2011)","http://www.statoids.com/ycz.html"
"a825cbc2","CZ0635",3,"Vysočina","Ždár nad Sázavou",,"CZE.4.5_1","ChIJ7fkXghh3DUcRYKwUZg-vAAM","CZ.JK.ZR","CZ0635","CZ063",49.4859714508058,16.0798693174054,117219,"Statoids (2011)","http://www.statoids.com/ycz.html"
"b79154ad","CZ0721",3,"Zlínský","Kromeríž",,"CZE.14.1_1","ChIJE1V9Rc4IE0cRQK0UZg-vAAM","CZ.ZK.KM","CZ0721","CZ072",49.2679901123047,17.3834012986501,105569,"Statoids (2011)","http://www.statoids.com/ycz.html"
"2e980517","CZ0722",3,"Zlínský","Uherské Hradište",,"CZE.14.2_1","ChIJMxbg9OxqE0cRUK0UZg-vAAM","CZ.ZK.UH","CZ0722","CZ072",49.0233802795411,17.6593098505577,141467,"Statoids (2011)","http://www.statoids.com/ycz.html"
"599f3581","CZ0723",3,"Zlínský","Vsetín",,"CZE.14.3_1","ChIJ_w0S-6mGE0cRYK0UZg-vAAM","CZ.ZK.VS","CZ0723","CZ072",49.357858657837,18.1120868325234,142420,"Statoids (2011)","http://www.statoids.com/ycz.html"
"c7fba022","CZ0724",3,"Zlínský","Zlín",,"CZE.14.4_1","ChIJmx9UMXtxE0cRMK0UZg-vAAM","CZ.ZK.ZL","CZ0724","CZ072",49.19069480896,17.7330002039742,190488,"Statoids (2011)","http://www.statoids.com/ycz.html"
