"id","id_gov.co","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
"82625fa2","5266",3,"Antioquia","Envigado","COL.2.46_1","ChIJO35KCEWCRo4RbUIbuOWrciE","CO.AN.EN","COANT05266","05266",6.13884949684143,-75.5862866086521,251000,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"1b8cb635","5282",3,"Antioquia","Fredonia","COL.2.47_1",,"CO.AN.FD","COANT05282","05282",5.86090683937081,-75.7058382886889,33131,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"f2ef1300","5284",3,"Antioquia","Frontino","COL.2.48_1","ChIJ20tnWuCYRY4RNs-wFOF2zQQ","CO.AN.FN","COANT05284","05284",6.71395087242138,-76.3015381730491,28960,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"d5fa9213","5306",3,"Antioquia","Giraldo","COL.2.49_1",,"CO.AN.GL","COANT05306","05306",6.66690063476574,-75.9520719357955,5296,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"3242bf14","5308",3,"Antioquia","Girardota","COL.2.50_1","ChIJGacFfkg7RI4RdpZ-eVj1zeE","CO.AN.GT","COANT05308","05308",6.36935043334972,-75.4584203364647,60636,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"25820667","5310",3,"Antioquia","Gómez Plata","COL.2.51_1",,"CO.AN.GP","COANT05310","05310",6.719150543213,-75.1986275828116,16074,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"bc8b57dd","5313",3,"Antioquia","Granada","COL.2.52_1",,"CO.AN.GR","COANT05313","05313",6.1048495769501,-75.1345745018125,13993,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"55e8f2e8","5315",3,"Antioquia","Guadalupe","COL.2.53_1",,"CO.AN.GD","COANT05315","05315",6.85765051841744,-75.2334544781439,8526,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"2b598e55","5318",3,"Antioquia","Guarne","COL.2.54_1","ChIJvXhF31QhRI4RDVp2CVO6f6E","CO.AN.GU","COANT05318","05318",6.26480054855347,-75.4533280610057,57620,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"79a86532","5321",3,"Antioquia","Guatapé","COL.2.55_1","ChIJszRwCdYcRI4RJeS7fDFd7j4","CO.AN.GA","COANT05321","05321",6.22950100898751,-75.1715832908893,8378,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
