"id","pop","pop_14","pop_15_64","pop_65","pop_density","pop_death_rate","pop_age"
"Saudi Arabia",33699947,0.250428481279098,0.716430638491404,0.0331408802294981,15.6766543082956,0.003446,30.8
"Senegal",15854360,0.430554303706314,0.538577459283503,0.0308682370101833,82.3474783150678,0.005845,19.4
"Serbia",6982084,0.156896807521828,0.65964526556121,0.183457926916963,79.8317402241024,0.0148,43.4
"Seychelles",96762,0.236353711790393,0.687700832166104,0.0759454560435034,210.352173913043,0.0078,36.8
"Singapore",5638676,0.122782826362627,0.762583371703582,0.114633801933791,7952.9984184018,0.005,35.6
"Slovakia",5447011,0.154461367603311,0.689246167348919,0.15629246504777,113.290578202995,0.0099,41.8
"Slovenia",2067372,0.150217750478021,0.653713452980191,0.196068796541788,102.639859503382,0.0099,44.9
"Somalia",15008154,0.465765840679638,0.505501049890906,0.0287331094294556,23.9234769024771,0.011062,18.5
"South Africa",57779622,0.290794891477129,0.656025058468641,0.0531800500542302,47.6301197767684,0.009498,28
"Spain",46723749,0.146670011075355,0.65954491369965,0.193785075224995,93.5290582615872,0.009,43.9
"Sri Lanka",21670000,0.241970010216799,0.653297792245361,0.104732197537841,345.558922022006,0.006554,33.7
"Sudan",41801533,0.421,0.552,0.027,23.5,0.0067,18.3
"Suriname",575991,0.27170263372628,0.659233667251168,0.0690636990225525,3.69225,0.007277,31
"Sweden",10183175,0.175817854599214,0.623226896122783,0.200955249278002,25.0010434312931,0.0091,41.1
"Switzerland",8516543,0.149109547691069,0.664658286661214,0.186232165647717,215.521378417094,0.0079,42.7
"Syria",16906283,0.314215408068559,0.640753347716682,0.0450312442147583,92.0671077710614,0.005584,23.5
"Tanzania",56318348,0.440982381505459,0.533004626710946,0.0260129917835952,63.5790787988259,0.006622,18.2
"Thailand",69428524,0.170869888171064,0.710121180433042,0.119008931395893,135.897206835131,0.007559,39
"Timor-Leste",1267972,0.377806642722958,0.579028434336982,0.0431649229400603,85.270477471419,0.00605,19.6
"Togo",7889094,0.41334523499723,0.557960084891888,0.0286946801108822,145.046773303916,0.008568,20
"Trinidad and Tobago",1389858,0.20419572570427,0.688454739132406,0.107349535163324,270.927485380117,0.008261,37.8
"Tunisia",11565204,0.241701203463736,0.675142005746377,0.0831567907898877,74.4413233779609,0.006274,32.7
"Turkey",82319724,0.246494101390807,0.668673769209477,0.084832129399716,106.960128893104,0.005394,32.2
"Uganda",42723139,0.469305251819863,0.511284878975505,0.0194098692046317,213.061734490325,0.006769,15.7
"Ukraine",44622516,0.158124131732483,0.677529003875501,0.164346864392016,77.0296673514129,0.0145,41.2
"United Arab Emirates",9630959,0.146035093701468,0.843114896450084,0.0108500098484481,135.609110109828,0.001429,38.4
"United Kingdom",66488991,0.176780820689573,0.63926052256896,0.183958656741466,274.82739222089,0.0092,40.6
"Uruguay",3449299,0.206079810743386,0.645774993948021,0.148145195308593,19.7080276539824,0.009461,35.5
"US",327200000,0.187090399824651,0.654833059619314,0.158076540556035,35.766088580168,0.0085,38.5
"Uzbekistan",32955400,0.286860574147675,0.668948047070961,0.044191378781364,77.4692054536906,0.005,30.1
"Venezuela",28870195,0.276666505810652,0.650663627988088,0.0726698662012597,32.7307919052208,0.006814,30
"Vietnam",95540395,0.231726768317012,0.695523448704195,0.072749782978793,308.125245912213,0.006253,31.9
"West Bank and Gaza",4569087,0.389473612779327,0.579193329849872,0.0313330573708009,758.984551495017,0.003469,21.9
"Zambia",17351822,0.449361411568244,0.529641808172429,0.0209967802593266,23.3414789007116,0.006633,16.9
"Zimbabwe",14439018,0.424010662380439,0.54659410108955,0.0293952365300113,37.3245909267158,0.008044,20.5
