"id","id_ssi.dk","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
"12818ef9","147",3,"Hovedstaden","Frederiksberg",,"DNK.1.10_1","ChIJvYLDJLZTUkYRehIVc-5UWCs","DK.HS.FB","147","DK011",55.6823787689209,12.5237218401718,91886,"http://www.statoids.com/ydk.html","Statoids (2005)"
"97b89442","250",3,"Hovedstaden","Frederikssund",,"DNK.1.11_1","ChIJHRDU5eBoUkYRjbxsQ2z6plU","DK.HS.FS","250","DK013",55.8341674804688,12.1319655282158,42957,"http://www.statoids.com/ydk.html","Statoids (2005)"
"394b6517","190",3,"Hovedstaden","Furesø",,"DNK.1.12_1","ChIJSQ0NTnZFUkYRToRdwNx6Npo","DK.HS.FU","190","DK013",55.8018302917481,12.3745699476132,37311,"http://www.statoids.com/ydk.html","Statoids (2005)"
"0b9abfb8","157",3,"Hovedstaden","Gentofte",,"DNK.1.13_1","ChIJFSn_7ulNUkYRj7LZg5inAXc","DK.HS.GE","157","DK012",55.7504768371583,12.5468347036586,68991,"http://www.statoids.com/ydk.html","Statoids (2005)"
"ec2292bf","159",3,"Hovedstaden","Gladsaxe",,"DNK.1.14_1","ChIJj_LEZdZRUkYRCnZ7zYkfiaY","DK.HS.GX","159","DK012",55.7457847595216,12.4756351992828,62007,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c9d4494e","161",3,"Hovedstaden","Glostrup",,"DNK.1.15_1","ChIJDzQ9ScdQUkYRZatjKtHyAQw","DK.HS.GP","161","DK012",55.6834964752198,12.4127679748956,20785,"http://www.statoids.com/ydk.html","Statoids (2005)"
"a58ef6c0","270",3,"Hovedstaden","Gribskov",,"DNK.1.16_1","ChIJLaBIsl5BUkYRYoiKy9A6ijY","DK.HS.GR","270","DK013",56.0488548278809,12.2223563512403,40409,"http://www.statoids.com/ydk.html","Statoids (2005)"
"bc95c781","260",3,"Hovedstaden","Halsnæs",,"DNK.1.17_1","ChIJuUWS13oSUkYRcdIiGVXk9gw","DK.HS.FH","260","DK013",55.9548320770264,11.8974995613099,30253,"http://www.statoids.com/ydk.html","Statoids (2005)"
"6db0c4e5","217",3,"Hovedstaden","Helsingør",,"DNK.1.18_1","ChIJKcRf10k6UkYRwZomCtYI3hU","DK.HS.HG","217","DK013",56.0372219085695,12.5101846475658,61295,"http://www.statoids.com/ydk.html","Statoids (2005)"
"27da2862","163",3,"Hovedstaden","Herlev",,"DNK.1.19_1","ChIJC726yjVQUkYRC77AmTuluyI","DK.HS.HV","163","DK012",55.7335758209229,12.4293102593012,27166,"http://www.statoids.com/ydk.html","Statoids (2005)"
"8a08e9e2","219",3,"Hovedstaden","Hillerød",,"DNK.1.20_1","ChIJPYFGBvQ_UkYRWshnOMUADh4","DK.HS.HI","219","DK013",55.9247474670411,12.2304836793405,44520,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c70fc17c","169",3,"Hovedstaden","Høje Tåstrup",,"DNK.1.21_1","ChIJhTLMixRZUkYR6k3Tdgn-bMw","DK.HS.HT","169","DK012",55.6554393768311,12.2443134492947,45553,"http://www.statoids.com/ydk.html","Statoids (2005)"
"41f0533f","223",3,"Hovedstaden","Hørsholm",,"DNK.1.22_1","ChIJt0XEwIxIUkYRaHYXBAbOuN0","DK.HS.HO","223","DK013",55.8848609924316,12.4764795155869,24292,"http://www.statoids.com/ydk.html","Statoids (2005)"
"20b7ec7b","167",3,"Hovedstaden","Hvidovre",,"DNK.1.23_1","ChIJD85uuSFUUkYRGk87mF6q1VY","DK.HS.HD","167","DK012",55.6333160400391,12.4671073267602,49863,"http://www.statoids.com/ydk.html","Statoids (2005)"
"b95905ec","183",3,"Hovedstaden","Ishøj",,"DNK.1.24_1","ChIJRXHn2DpYUkYRIZgYrenc7HY","DK.HS.IS","183","DK012",55.6154022216796,12.3390980398134,20668,"http://www.statoids.com/ydk.html","Statoids (2005)"
"9f8eeec8","101",3,"Hovedstaden","København","Copenhagen, Capital Region of Denmark","DNK.1.25_1","ChIJiflw5SJTUkYRQk2g-SoIpbQ","DK.HS.KO","101","DK011",55.6568050384522,12.6002769470215,502362,"http://www.statoids.com/ydk.html","Statoids (2005)"
"3ec11923","173",3,"Hovedstaden","Lyngby-Taarbæk",,"DNK.1.26_1","ChIJjfhslPROUkYRBhCnb0ZT2eg","DK.HS.LT","173","DK012",55.7848167419435,12.5051764118724,51611,"http://www.statoids.com/ydk.html","Statoids (2005)"
"d7a2bc16","175",3,"Hovedstaden","Rødovre",,"DNK.1.27_1","ChIJyUT7ixNRUkYRlxXxTt4kCXk","DK.HS.RO","175","DK012",55.6907863616944,12.4481357058058,36312,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c1e233c4","230",3,"Hovedstaden","Rudersdal",,"DNK.1.28_1","ChIJ1eSfrhxPUkYRMSh0xHd6uHM","DK.HS.RU","230","DK013",55.8373603820801,12.4840495210784,53621,"http://www.statoids.com/ydk.html","Statoids (2005)"
"503aa0d9","185",3,"Hovedstaden","Tårnby",,"DNK.1.29_1","ChIJ6XObK3CrU0YR0MGAm8-V43o","DK.HS.TA","185","DK011",55.609525680542,12.5949993133545,39582,"http://www.statoids.com/ydk.html","Statoids (2005)"
"be34c1f5","187",3,"Hovedstaden","Vallensbæk",,"DNK.1.30_1","ChIJa_eJ0GpXUkYRwwb1sANvJkM","DK.HS.VA","187","DK012",55.6333484649658,12.3696034928035,12260,"http://www.statoids.com/ydk.html","Statoids (2005)"
"e674663f","751",3,"Midtjylland","Århus",,"DNK.2.1_1","ChIJqdQeVLlMTEYRXbXPMBJmWA4","DK.MJ.AR","751","DK042",56.1627788543701,10.0999940268752,294954,"http://www.statoids.com/ydk.html","Statoids (2005)"
"f51f93ad","710",3,"Midtjylland","Favrskov",,"DNK.2.2_1","ChIJ-_GCUMcPTEYRnLutuJcZ2XA","DK.MJ.FA","710","DK042",56.3213939666749,9.92907955324885,43739,"http://www.statoids.com/ydk.html","Statoids (2005)"
"533da05f","766",3,"Midtjylland","Hedensted",,"DNK.2.3_1","ChIJr-uL_jKITEYRxDvMTmNcyvA","DK.MJ.HD","766","DK042",55.7967891693116,9.78126194923257,43560,"http://www.statoids.com/ydk.html","Statoids (2005)"
"0ed5a93d","657",3,"Midtjylland","Herning",,"DNK.2.4_1","ChIJT3DfGsSwS0YRk9Kz9Fr6khs","DK.MJ.HG","657","DK041",56.1466026306153,8.85969798397125,82935,"http://www.statoids.com/ydk.html","Statoids (2005)"
"cc9b5fcb","661",3,"Midtjylland","Holstebro",,"DNK.2.5_1","ChIJAQaa1uQzSkYRk0gIaF3cNCo","DK.MJ.HB","661","DK041",56.3942394256592,8.70936922695179,56204,"http://www.statoids.com/ydk.html","Statoids (2005)"
"84b70d15","615",3,"Midtjylland","Horsens",,"DNK.2.6_1","ChIJ2VPwvhtyTEYRq3Vj98e9idA","DK.MJ.HS","615","DK042",55.9382762908936,9.77000899851019,76612,"http://www.statoids.com/ydk.html","Statoids (2005)"
"7810f39c","756",3,"Midtjylland","Ikast-Brande",,"DNK.2.7_1","ChIJFaMRFfmQS0YRdzeGc-E1ces","DK.MJ.IB","756","DK041",56.0525131225586,9.26183993316382,39371,"http://www.statoids.com/ydk.html","Statoids (2005)"
"cbf69bd2","665",3,"Midtjylland","Lemvig",,"DNK.2.8_1","ChIJ2Ra-4JIjSkYRTlx2eig9dtY","DK.MJ.LE","665","DK041",56.5263900756836,8.3033693000489,22760,"http://www.statoids.com/ydk.html","Statoids (2005)"
"7260374f","707",3,"Midtjylland","Norddjurs",,"DNK.2.9_1","ChIJl2viORh-TkYRpZIQ5XJu0ig","DK.MJ.NO","707","DK042",56.450834274292,10.6088382267759,38352,"http://www.statoids.com/ydk.html","Statoids (2005)"
"405655cd","727",3,"Midtjylland","Odder",,"DNK.2.10_1","ChIJ3S9ehOBaTEYRgoHivqSGufk","DK.MJ.OD","727","DK042",55.9309787750245,10.1428123507218,21133,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c729f12f","730",3,"Midtjylland","Randers",,"DNK.2.11_1","ChIJCWPhB60CTEYRoZ71M7nVfr0","DK.MJ.RA","730","DK042",56.5363883972169,10.0021311686093,91961,"http://www.statoids.com/ydk.html","Statoids (2005)"
"ba5e056a","760",3,"Midtjylland","Ringkøbing-Skjern",,"DNK.2.12_1","ChIJ4wgA5Z5TSkYR2SRl0NL-9vY","DK.MJ.RS","760","DK041",56.0175781250001,8.55172395316155,57818,"http://www.statoids.com/ydk.html","Statoids (2005)"
"ff6f577e","741",3,"Midtjylland","Samsø",,"DNK.2.13_1",,"DK.MJ.SA","741","DK042",55.8833332061768,10.6122221946717,4125,"http://www.statoids.com/ydk.html","Statoids (2005)"
"886867e8","740",3,"Midtjylland","Silkeborg",,"DNK.2.14_1","ChIJgwU-A12LS0YRKBpgZIWl8Wc","DK.MJ.SI","740","DK042",56.1844310760498,9.61101017257043,84167,"http://www.statoids.com/ydk.html","Statoids (2005)"
"610bc2dd","746",3,"Midtjylland","Skanderborg",,"DNK.2.15_1","ChIJDSpJrSdyTEYROSsTfT0_GvM","DK.MJ.SD","746","DK042",56.0850429534912,9.85315397535195,54153,"http://www.statoids.com/ydk.html","Statoids (2005)"
"da998c8f","779",3,"Midtjylland","Skive",,"DNK.2.16_1","ChIJcQHR7wvTS0YRcPTJfs3PrII","DK.MJ.SV","779","DK041",56.6399688720704,8.91777849197399,48368,"http://www.statoids.com/ydk.html","Statoids (2005)"
"d5806e8a","671",3,"Midtjylland","Struer",,"DNK.2.17_1","ChIJazdB6U8pSkYRdro9lJBt8iQ","DK.MJ.ST","671","DK041",56.6328487396241,8.53999996185306,22752,"http://www.statoids.com/ydk.html","Statoids (2005)"
"056707d9","706",3,"Midtjylland","Syddjurs",,"DNK.2.18_1","ChIJad-7GdLMTUYRnbtlOHG7MTE","DK.MJ.SY","706","DK042",56.2711696624756,10.6622219085694,40196,"http://www.statoids.com/ydk.html","Statoids (2005)"
"4ac12933","791",3,"Midtjylland","Viborg",,"DNK.2.19_1","ChIJ06icNHnbS0YR1Ba5USGmY4c","DK.MJ.VI","791","DK041",56.4522113800049,9.38335718271058,89645,"http://www.statoids.com/ydk.html","Statoids (2005)"
"ed282102","851",3,"Nordjylland","Aalborg",,"DNK.3.1_1","ChIJPWUQiZPvS0YR_eGH08ZIdvY","DK.ND.AA","851","DK050",57.1083412170411,10.0192313273661,192353,"http://www.statoids.com/ydk.html","Statoids (2005)"
"fe43d490","810",3,"Nordjylland","Brønderslev",,"DNK.3.2_1","ChIJTwZkIvAYSUYR6FAI8rhiF6k","DK.ND.BD","810","DK050",57.20365524292,10.1955393381036,35320,"http://www.statoids.com/ydk.html","Statoids (2005)"
"674a852a","813",3,"Nordjylland","Frederikshavn",,"DNK.3.3_1","ChIJm459rPc7T0YRctQpIsmYdg8","DK.ND.FR","813","DK050",57.4612483978272,10.4513091739855,63799,"http://www.statoids.com/ydk.html","Statoids (2005)"
"b1024257","860",3,"Nordjylland","Hjørring",,"DNK.3.4_1","ChIJlY35gbSiSEYR1uV8KLVKleo","DK.ND.HJ","860","DK050",57.4626388549805,10.0732564022666,67816,"http://www.statoids.com/ydk.html","Statoids (2005)"
