"id","id_github.covid19datahub.covid19br","id_github.oxcgrt.covidpolicytracker","id_github.wcota.covid19br","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source","population_data_source_url"
"3cff7412",2700508,"BR_AL","2700508",3,"Alagoas","Barra de Santo Antônio",,"BRA.2.5_1","ChIJGbaGFusZAQcRF10EyLrVHNA",,"BRAL2700508","2700508",-9.375,-35.5867390477104,16068,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"ae06d7da",2700607,"BR_AL","2700607",3,"Alagoas","Barra de São Miguel",,"BRA.2.6_1","ChIJ3XL81OX_AwcRt8Mh9LGP-2g",,"BRAL2700607","2700607",-9.807361125,-35.9706836488853,8378,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"d8c38d7b",2700706,"BR_AL","2700706",3,"Alagoas","Batalha",,"BRA.2.7_1",,,"BRAL2700706","2700706",-9.706833365,-37.1147132585781,18338,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"4a969bfc",2700805,"BR_AL","2700805",3,"Alagoas","Belém",,"BRA.2.8_1",,,"BRAL2700805","2700805",-9.54647303,-36.4952728084784,4284,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"3c53c15d",2700904,"BR_AL","2700904",3,"Alagoas","Belo Monte",,"BRA.2.9_1",,,"BRAL2700904","2700904",-9.813031195,-37.1747897915449,6710,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"fb546938",2701001,"BR_AL","2701001",3,"Alagoas","Boca da Mata",,"BRA.2.10_1","ChIJQUybf9WiBgcRlcdWbS3OQcU",,"BRAL2701001","2701001",-9.663567065,-36.1635396082585,27356,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"8d913399",2701100,"BR_AL","2701100",3,"Alagoas","Branquinha",,"BRA.2.11_1",,,"BRAL2701100","2701100",-9.20831299,-35.9815586455402,10460,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"f60b3564",2701209,"BR_AL","2701209",3,"Alagoas","Cacimbinhas",,"BRA.2.12_1",,,"BRAL2701209","2701209",-9.445146085,-36.9267299057166,10889,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"80ce6fc5",2701308,"BR_AL","2701308",3,"Alagoas","Cajueiro",,"BRA.2.13_1",,,"BRAL2701308","2701308",-9.406823635,-36.162175878558,21331,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"6d068611",2701357,"BR_AL","2701357",3,"Alagoas","Campestre",,"BRA.2.14_1",,,"BRAL2701357","2701357",-8.882596015,-35.5577617166722,6954,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"153e64d1",2701407,"BR_AL","2701407",3,"Alagoas","Campo Alegre",,"BRA.2.15_1","ChIJ4XIihE4nBAcRl-73ZaFeNj0",,"BRAL2701407","2701407",-9.81951523,-36.2846659091737,57537,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"63fb3e70",2701506,"BR_AL","2701506",3,"Alagoas","Campo Grande",,"BRA.2.16_1",,,"BRAL2701506","2701506",-9.96362543,-36.7434091785958,9567,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"f8b4d193",2701605,"BR_AL","2701605",3,"Alagoas","Canapi",,"BRA.2.17_1",,,"BRAL2701605","2701605",-9.12973213,-37.5365436723497,17719,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"8e718b32",2701704,"BR_AL","2701704",3,"Alagoas","Capela",,"BRA.2.18_1",,,"BRAL2701704","2701704",-9.3460865,-36.0704632352797,16979,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"1b4959ac",2701803,"BR_AL","2701803",3,"Alagoas","Carneiros",,"BRA.2.19_1",,,"BRAL2701803","2701803",-9.47195768,-37.381116684771,9159,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"6d8c030d",2701902,"BR_AL","2701902",3,"Alagoas","Chã Preta",,"BRA.2.20_1","ChIJ8Rxt-dLgBgcRwT00RYy3KV4",,"BRAL2701902","2701902",-9.254073145,-36.2919691665936,7311,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"e73a4ee4",2702009,"BR_AL","2702009",3,"Alagoas","Coité do Nóia",,"BRA.2.21_1",,,"BRAL2702009","2702009",-9.63441086,-36.5766379659757,10643,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"91ff1445",2702108,"BR_AL","2702108",3,"Alagoas","Colônia Leopoldina",,"BRA.2.22_1",,,"BRAL2702108","2702108",-8.97250366,-35.7694423552475,21818,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"0306b78d",2702207,"BR_AL","2702207",3,"Alagoas","Coqueiro Seco",,"BRA.2.23_1",,,"BRAL2702207","2702207",-9.640796185,-35.8029082753103,5864,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"75c3ed2c",2702306,"BR_AL","2702306",3,"Alagoas","Coruripe",,"BRA.2.24_1","ChIJz1SK9n9sBAcRoJ2xvJuTYz8",,"BRAL2702306","2702306",-10.10444403,-36.2372879401883,57294,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"91bd48d3",2702355,"BR_AL","2702355",3,"Alagoas","Craíbas",,"BRA.2.25_1","ChIJ5yXt9LJwBgcRBdgfnuXU6_U",,"BRAL2702355","2702355",-9.63981581,-36.7897622955129,24309,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"e985aa13",2702405,"BR_AL","2702405",3,"Alagoas","Delmiro Gouveia",,"BRA.2.26_1","ChIJQzxipoMnCQcRYscctw92H1k",,"BRAL2702405","2702405",-9.40666294,-38.045140404165,52262,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"9f40f0b2",2702504,"BR_AL","2702504",3,"Alagoas","Dois Riachos",,"BRA.2.27_1",,,"BRAL2702504","2702504",-9.38232756,-37.0694390673795,11067,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"7c539154",2702553,"BR_AL","2702553",3,"Alagoas","Estrela de Alagoas",,"BRA.2.28_1",,,"BRAL2702553","2702553",-9.38752842,-36.7712191592057,18255,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"0362db48",2702603,"BR_AL","2702603",3,"Alagoas","Feira Grande",,"BRA.2.29_1",,,"BRAL2702603","2702603",-9.895438195,-36.6676376576456,22178,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"75a781e9",2702702,"BR_AL","2702702",3,"Alagoas","Feliz Deserto",,"BRA.2.30_1",,,"BRAL2702702","2702702",-10.29180479,-36.3320493743314,4779,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"e7f2976e",2702801,"BR_AL","2702801",3,"Alagoas","Flexeiras",,"BRA.2.31_1",,,"BRAL2702801","2702801",-9.252592085,-35.7692735470388,12807,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"9137cdcf",2702900,"BR_AL","2702900",3,"Alagoas","Girau do Ponciano",,"BRA.2.32_1","ChIJoZ2ShvzEBQcRr3rXzde9WqY",,"BRAL2702900","2702900",-9.78867769,-36.8307742679346,41237,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"b83e0486",2703007,"BR_AL","2703007",3,"Alagoas","Ibateguara",,"BRA.2.33_1",,,"BRAL2703007","2703007",-8.95386791,-35.9046125795155,15627,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"cefb5e27",2703106,"BR_AL","2703106",3,"Alagoas","Igaci",,"BRA.2.34_1",,,"BRAL2703106","2703106",-9.569928645,-36.6784809673337,25613,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"55b4b1c4",2703205,"BR_AL","2703205",3,"Alagoas","Igreja Nova",,"BRA.2.35_1",,,"BRAL2703205","2703205",-10.153004645,-36.6260902916611,24586,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"2371eb65",2703304,"BR_AL","2703304",3,"Alagoas","Inhapi",,"BRA.2.36_1",,,"BRAL2703304","2703304",-9.291033265,-37.6818391243359,18392,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
