"id","id_github.minciencia.datoscovid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population"
"7923c10e","4203",3,"Coquimbo","Los Vilos","CHL.7.1.2_1",,"CLCO09","04203",-31.8597831726074,-71.2473172705158,23374
"78e1ab39","4303",3,"Coquimbo","Monte Patria","CHL.7.3.2_1",,"CLCO10","04303",-30.9461832046509,-70.6829145775453,32527
"96efca15","4301",3,"Coquimbo","Ovalle","CHL.7.3.3_1",,"CLCO11","04301",-30.7023601531982,-71.301816719013,121269
"9206da62","4105",3,"Coquimbo","Paiguano","CHL.7.2.5_1",,"CLCO12","04105",-30.2529954910278,-70.2814243786394,4675
"e6853e9a","4304",3,"Coquimbo","Punitaqui","CHL.7.3.4_1",,"CLCO13","04304",-30.9580907821655,-71.3202465536021,12165
"91820e0c","4305",3,"Coquimbo","Rio Hurtado","CHL.7.3.5_1",,"CLCO14","04305",-30.3999004364013,-70.5227329798442,4372
"e74754ad","4204",3,"Coquimbo","Salamanca","CHL.7.1.4_1",,"CLCO15","04204",-31.8828268051147,-70.6798421517292,29110
"0b0f8bd8","4106",3,"Coquimbo","Vicuna","CHL.7.2.6_1",,"CLCO16","04106",-29.9586992263794,-70.3926164077367,29741
"7c08a338","10202",3,"Los Lagos","Ancud","CHL.9.1.1_1",,"CLLL01","10202",-41.961389541626,-73.9087524414063,42458
"7e4e1d61","10102",3,"Los Lagos","Calbuco","CHL.9.2.1_1",,"CLLL02","10102",-41.6913890838623,-73.1596236808061,36744
"e501f282","10201",3,"Los Lagos","Castro","CHL.9.1.2_1",,"CLLL03","10201",-42.4716682434081,-73.9724998474121,47607
"e18c8e30","10401",3,"Los Lagos","Chaiten","CHL.9.4.1_1",,"CLLL04","10401",-43.0116672515869,-72.5321178358848,5020
"0b0f93ae","10203",3,"Los Lagos","Chonchi","CHL.9.1.3_1",,"CLLL05","10203",-42.7349987030029,-73.8836097717285,16013
"09492df7","10103",3,"Los Lagos","Cochamo","CHL.9.2.2_1",,"CLLL06","10103",-41.7181949615478,-72.1477500832928,4006
"956b060d","10204",3,"Los Lagos","Curaco de Velez","CHL.9.1.4_1",,"CLLL07","10204",-42.4838886260986,-73.4848594665527,4066
"e26c369b","10205",3,"Los Lagos","Dalcahue","CHL.9.1.5_1",,"CLLL08","10205",-42.2916660308838,-73.8931306601524,15069
"972db854","10104",3,"Los Lagos","Fresia","CHL.9.2.3_1",,"CLLL10","10104",-41.0474987030029,-73.6400522271291,12656
"e02a88c2","10105",3,"Los Lagos","Frutillar","CHL.9.2.4_1",,"CLLL11","10105",-41.0204200744629,-73.1871790579331,20223
"7885df8a","10402",3,"Los Lagos","Futaleufu","CHL.9.4.2_1",,"CLLL12","10402",-43.1488399505615,-72.0316982682864,2806
"0f82ef1c","10403",3,"Los Lagos","Hualaihue","CHL.9.4.3_1",,"CLLL13","10403",-42.2004165649414,-72.2520744902162,9525
"0e24e9ee","10107",3,"Los Lagos","Llanquihue","CHL.9.2.5_1",,"CLLL14","10107",-41.1874809265137,-73.1133628039145,18621
"7923d978","10106",3,"Los Lagos","Los Muermos","CHL.9.2.6_1",,"CLLL15","10106",-41.3597221374512,-73.5824943218669,17817
"9e9bf47f","10108",3,"Los Lagos","Maullin","CHL.9.2.7_1",,"CLLL16","10108",-41.6472206115722,-73.3972413049529,14894
"e4c398b5","10301",3,"Los Lagos","Osorno","CHL.9.3.2_1",,"CLLL17","10301",-40.5254592895508,-73.2556770837172,173410
"91e67abf","10404",3,"Los Lagos","Palena","CHL.9.4.4_1",,"CLLL18","10404",-43.7219161987305,-71.9518417379408,1827
"e7474cdb","10101",3,"Los Lagos","Puerto Montt","CHL.9.2.8_1",,"CLLL19","10101",-41.4980564117431,-72.6006983394565,269398
"7dcac90f","10302",3,"Los Lagos","Puerto Octay","CHL.9.3.3_1",,"CLLL20","10302",-40.8634796142578,-72.82081171887,9192
"e99cc4e9","10109",3,"Los Lagos","Puerto Varas","CHL.9.2.9_1",,"CLLL21","10109",-41.1283321380615,-72.3716681845616,48620
"7b656721","10206",3,"Los Lagos","Puqueldon","CHL.9.1.6_1",,"CLLL22","10206",-42.6384716033935,-73.6563911437988,4201
"0acdf999","10303",3,"Los Lagos","Purranque","CHL.9.3.4_1",,"CLLL23","10303",-40.8111801147461,-73.5015818003522,21080
"94a96c3a","10304",3,"Los Lagos","Puyehue","CHL.9.3.1_1",,"CLLL24","10304",-40.6642646789551,-72.0124858590059,11787
"0c6257b7","10207",3,"Los Lagos","Queilen","CHL.9.1.7_1",,"CLLL25","10207",-43.001443862915,-73.659130967049,5543
"9cdd4a26","10208",3,"Los Lagos","Quellon","CHL.9.1.8_1",,"CLLL26","10208",-43.1655559539794,-74.048469543457,29309
"ebda7ab0","10209",3,"Los Lagos","Quemchi","CHL.9.1.9_1",,"CLLL27","10209",-42.1644458770752,-73.5329884126317,8783
"8b1df355","10210",3,"Los Lagos","Quinchao","CHL.9.1.10_1",,"CLLL28","10210",-42.6436100006103,-73.2780570983887,8298
"e3ae5cac","10305",3,"Los Lagos","Rio Negro","CHL.9.3.5_1",,"CLLL29","10305",-40.6530570983887,-73.5190907137511,14275
"7aa70d16","10306",3,"Los Lagos","San Juan de la Costa","CHL.9.3.6_1",,"CLLL30","10306",-40.4072208404541,-73.5974709372006,7639
"0da03d80","10307",3,"Los Lagos","San Pablo","CHL.9.3.7_1",,"CLLL31","10307",-40.3345985412597,-73.292405820242,10553
"f12c8a36","14102",3,"Los Ríos","Corral","CHL.10.2.1_1",,"CLLR01","14102",-40.040277481079,-73.4675107723673,5447
"f36a346f","14202",3,"Los Ríos","Futrono","CHL.10.1.1_1",,"CLLR03","14202",-40.1971187591553,-72.1686702640693,15261
"6a6365d5","14201",3,"Los Ríos","La Union","CHL.10.1.2_1",,"CLLR04","14201",-40.255220413208,-73.0249932026668,39538
"846d04f9","14203",3,"Los Ríos","Lago Ranco","CHL.10.1.3_1",,"CLLR05","14203",-40.3895092010498,-72.0817941516653,10292
"862bbaa0","14103",3,"Los Ríos","Lanco","CHL.10.2.2_1",,"CLLR06","14103",-39.7084693908691,-72.6463982587303,17652
"184f2f03","14104",3,"Los Ríos","Los Lagos","CHL.10.2.3_1",,"CLLR07","14104",-39.9942760467529,-72.6889678104055,20518
"6f481f95","14105",3,"Los Ríos","Mafil","CHL.10.2.4_1",,"CLLR08","14105",-39.9067459106445,-72.791171650529,7389
"f6414e2f","14106",3,"Los Ríos","Mariquina","CHL.10.2.5_1",,"CLLR09","14106",-39.6440277099609,-73.2461310219393,23250
"81467eb9","14107",3,"Los Ríos","Paillaco","CHL.10.2.6_1",,"CLLR10","14107",-40.1963500976562,-72.7689972979494,20798
"11f96328","14108",3,"Los Ríos","Panguipulli","CHL.10.2.7_1",,"CLLR11","14108",-39.8003940582275,-72.0945586438997,35991
"1a09915a","14204",3,"Los Ríos","Rio Bueno","CHL.10.1.4_1",,"CLLR12","14204",-40.5408191680908,-72.3623962402343,32925
"6825db8c","14101",3,"Los Ríos","Valdivia","CHL.10.2.8_1",,"CLLR13","14101",-39.9590740203857,-73.1915851021039,176774
"d6016bb3","12202",3,"Magallanes","Antartica","CHL.11.1.1.1_0",,,"12202",-55.0992,-69.2748,137
"4f083a09","12201",3,"Magallanes","Cabo de Hornos","CHL.11.1.1.2_0",,"CLMA02","12201",-55.03,-69.24,1983
"d447d5ea","12102",3,"Magallanes","Laguna Blanca","CHL.11.2.1_1",,"CLMA04","12102",-52.4150772094727,-71.2650456045882,264
"4b8546bb","12401",3,"Magallanes","Natales","CHL.11.4.1_1",,"CLMA05","12401",-52.3669376373291,-73.1419448852539,23782
"4eca503e","12301",3,"Magallanes","Porvenir","CHL.11.3.1_1",,"CLMA06","12301",-53.3888874053955,-68.9734362504994,7323
"d7c30184","12302",3,"Magallanes","Primavera","CHL.11.3.2_1",,"CLMA07","12302",-52.7647209167481,-69.1637748142927,694
"4d4e8450","12101",3,"Magallanes","Punta Arenas","CHL.11.2.2_1",,"CLMA08","12101",-53.3080348968506,-71.3433303833007,141984
"a340e57c","12103",3,"Magallanes","Rio Verde","CHL.11.2.3_1",,"CLMA09","12103",-52.723611831665,-72.9899978637695,211
"3d2470df","12104",3,"Magallanes","San Gregorio","CHL.11.2.4_1",,"CLMA10","12104",-52.3794441223144,-70.1918149555158,681
"a0c43112","12303",3,"Magallanes","Timaukel","CHL.11.3.3_1",,"CLMA11","12303",-54.1788883209229,-69.2187681234082,282
"d28c1701","12402",3,"Magallanes","Torres del Paine","CHL.11.4.2_1",,"CLMA12","12402",-51.0869216918945,-72.9012439731427,1021
"85980fcc","7201",3,"Maule","Cauquenes","CHL.12.1.1_1",,"CLML01","07201",-35.8919448852539,-72.2566001505163,44143
"1c915e76","7202",3,"Maule","Chanco","CHL.12.1.2_1",,"CLML02","07202",-35.6716651916503,-72.47605400055,9331
"181c22c4","7402",3,"Maule","Colbun","CHL.12.3.1_1",,"CLML03","07402",-36.0315151214599,-70.7453905411088,22565
"1ed7e02f","7102",3,"Maule","Constitucion","CHL.12.4.1_1",,"CLML04","07102",-35.3065700531006,-72.2454107010216,50348
"69d0d0b9","7103",3,"Maule","Curepto","CHL.12.4.2_1",,"CLML05","07103",-35.1373901367187,-71.9457962746447,9426
"845a65fb","7301",3,"Maule","Curico","CHL.12.2.1_1",,"CLML06","07301",-35.2238006591796,-70.9486828637687,163626
