"id","country","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Essex, New Jersey, US","US","New Jersey","Essex",40.78681335,-74.24657979,798975,NA,NA,NA,NA,NA,NA
"Essex, New York, US","US","New York","Essex",44.11630765,-73.77297842,36885,NA,NA,NA,NA,NA,NA
"Essex, Vermont, US","US","Vermont","Essex",44.72736416,-71.73579864,6163,NA,NA,NA,NA,NA,NA
"Essex, Virginia, US","US","Virginia","Essex",37.93357639,-76.94230311,10953,NA,NA,NA,NA,NA,NA
"Estill, Kentucky, US","US","Kentucky","Estill",37.69241417,-83.95956369,14106,NA,NA,NA,NA,NA,NA
"Etowah, Alabama, US","US","Alabama","Etowah",34.04567266,-86.04051873,102268,NA,NA,NA,NA,NA,NA
"Eureka, Nevada, US","US","Nevada","Eureka",39.98100864,-116.2683204,2029,NA,NA,NA,NA,NA,NA
"Evangeline, Louisiana, US","US","Louisiana","Evangeline",30.72985248,-92.39915924,33395,NA,NA,NA,NA,NA,NA
"Evans, Georgia, US","US","Georgia","Evans",32.15328841,-81.8870105,10654,NA,NA,NA,NA,NA,NA
"Fairbanks North Star, Alaska, US","US","Alaska","Fairbanks North Star",64.80726247,-146.5692662,96849,NA,NA,NA,NA,NA,NA
"Fairfax City, Virginia, US","US","Virginia","Fairfax City",38.85157547,-77.2977964,24019,NA,NA,NA,NA,NA,NA
"Fairfax, Virginia, US","US","Virginia","Fairfax",38.83677558,-77.27565836,1147532,NA,NA,NA,NA,NA,NA
"Fairfield, Connecticut, US","US","Connecticut","Fairfield",41.26809896,-73.3881171,943332,NA,NA,NA,NA,NA,NA
"Fairfield, Ohio, US","US","Ohio","Fairfield",39.75107189,-82.63088163,157574,NA,NA,NA,NA,NA,NA
"Fairfield, South Carolina, US","US","South Carolina","Fairfield",34.39287073,-81.1195624,22347,NA,NA,NA,NA,NA,NA
"Fall River, South Dakota, US","US","South Dakota","Fall River",43.23929297,-103.5275691,6713,NA,NA,NA,NA,NA,NA
"Fallon, Montana, US","US","Montana","Fallon",46.33478338,-104.4183565,2846,NA,NA,NA,NA,NA,NA
"Falls Church, Virginia, US","US","Virginia","Falls Church",38.88485255,-77.17560759,14617,NA,NA,NA,NA,NA,NA
"Falls, Texas, US","US","Texas","Falls",31.25350609,-96.93630086,17297,NA,NA,NA,NA,NA,NA
"Fannin, Georgia, US","US","Georgia","Fannin",34.86430205,-84.316964,26188,NA,NA,NA,NA,NA,NA
"Fannin, Texas, US","US","Texas","Fannin",33.59564294,-96.10751083,35514,NA,NA,NA,NA,NA,NA
"Faribault, Minnesota, US","US","Minnesota","Faribault",43.67381499,-93.94787458,13653,NA,NA,NA,NA,NA,NA
"Faulk, South Dakota, US","US","South Dakota","Faulk",45.07082625,-99.14535601,2299,NA,NA,NA,NA,NA,NA
"Faulkner, Arkansas, US","US","Arkansas","Faulkner",35.14719007,-92.33717519,126007,NA,NA,NA,NA,NA,NA
"Fauquier, Virginia, US","US","Virginia","Fauquier",38.73564842,-77.80647472,71222,NA,NA,NA,NA,NA,NA
"Fayette, Alabama, US","US","Alabama","Fayette",33.72076938,-87.73886638,16302,NA,NA,NA,NA,NA,NA
"Fayette, Georgia, US","US","Georgia","Fayette",33.41357794,-84.49089434,114421,NA,NA,NA,NA,NA,NA
"Fayette, Illinois, US","US","Illinois","Fayette",39.00072038,-89.02452658,21336,NA,NA,NA,NA,NA,NA
"Fayette, Indiana, US","US","Indiana","Fayette",39.63684962,-85.17797541,23102,NA,NA,NA,NA,NA,NA
"Fayette, Iowa, US","US","Iowa","Fayette",42.86271799,-91.8441231,19650,NA,NA,NA,NA,NA,NA
"Fayette, Kentucky, US","US","Kentucky","Fayette",38.0368225,-84.45576892,323152,NA,NA,NA,NA,NA,NA
"Fayette, Ohio, US","US","Ohio","Fayette",39.56021306,-83.4562016,28525,NA,NA,NA,NA,NA,NA
"Fayette, Pennsylvania, US","US","Pennsylvania","Fayette",39.92041012,-79.64291195,129274,NA,NA,NA,NA,NA,NA
"Fayette, Tennessee, US","US","Tennessee","Fayette",35.19615831,-89.41399032,41133,NA,NA,NA,NA,NA,NA
"Fayette, Texas, US","US","Texas","Fayette",29.87788372,-96.92076062,25346,NA,NA,NA,NA,NA,NA
"Fayette, West Virginia, US","US","West Virginia","Fayette",38.02974928,-81.08286634,42406,NA,NA,NA,NA,NA,NA
"Fentress, Tennessee, US","US","Tennessee","Fentress",36.38128818,-84.92870012,18523,NA,NA,NA,NA,NA,NA
"Fergus, Montana, US","US","Montana","Fergus",47.26331584,-109.2245206,11050,NA,NA,NA,NA,NA,NA
"Ferry, Washington, US","US","Washington","Ferry",48.4711431,-118.5154041,7627,NA,NA,NA,NA,NA,NA
"Fillmore, Minnesota, US","US","Minnesota","Fillmore",43.67394126,-92.08980382,21067,NA,NA,NA,NA,NA,NA
"Fillmore, Nebraska, US","US","Nebraska","Fillmore",40.52458567,-97.59646937,5462,NA,NA,NA,NA,NA,NA
"Finney, Kansas, US","US","Kansas","Finney",38.04340344,-100.7381938,36467,NA,NA,NA,NA,NA,NA
"Fisher, Texas, US","US","Texas","Fisher",32.74281316,-100.4019302,3830,NA,NA,NA,NA,NA,NA
"Flagler, Florida, US","US","Florida","Flagler",29.45933576,-81.31508595,115081,NA,NA,NA,NA,NA,NA
"Flathead, Montana, US","US","Montana","Flathead",48.29575866,-114.0520569,103806,NA,NA,NA,NA,NA,NA
"Fleming, Kentucky, US","US","Kentucky","Fleming",38.36758311,-83.69657514,14581,NA,NA,NA,NA,NA,NA
"Florence, South Carolina, US","US","South Carolina","Florence",34.02361754,-79.70189312,138293,NA,NA,NA,NA,NA,NA
"Florence, Wisconsin, US","US","Wisconsin","Florence",45.84963535,-88.39804137,4295,NA,NA,NA,NA,NA,NA
"Floyd, Georgia, US","US","Georgia","Floyd",34.26268279,-85.21577392,98498,NA,NA,NA,NA,NA,NA
"Floyd, Indiana, US","US","Indiana","Floyd",38.32117957,-85.90385377,78522,NA,NA,NA,NA,NA,NA
"Floyd, Iowa, US","US","Iowa","Floyd",43.0600053,-92.78940097,15642,NA,NA,NA,NA,NA,NA
"Floyd, Kentucky, US","US","Kentucky","Floyd",37.56213922,-82.74750924,35589,NA,NA,NA,NA,NA,NA
"Floyd, Texas, US","US","Texas","Floyd",34.07227468,-101.3031546,5712,NA,NA,NA,NA,NA,NA
"Floyd, Virginia, US","US","Virginia","Floyd",36.9302126,-80.36738849,15749,NA,NA,NA,NA,NA,NA
